Topic,Count,Name,Representation,Representative_Docs
-1,7661,-1_xxxx_credit_report_information,"['xxxx', 'credit', 'report', 'information', 'not', 'dispute', 'account', 'xx', 'consumer', 'remove']","['experian equifax fail fulfill legal obligation fair credit r act fcra conduct reasonable reinvestigation disputed information credit report leave inaccurate unverifiable account unresolved consumer financial protection bureau cfpb recently file lawsuit experian equifax allege systemic issue fail forward consumer provide evidence furnisher accept unreliable response fail adequately notify consumer dispute outcome failure align experience experian equifax neither correct nor remove dispute item despite evidence provide cause ongoing harm credit standing request immediate corrective action remove amend dispute account experian equifax inaction violate federal law right consumer', 'experian equifax fail fulfill legal obligation fair credit r act fcra conduct reasonable reinvestigation disputed information credit report leave inaccurate unverifiable account unresolved consumer financial protection bureau cfpb recently file lawsuit experian equifax allege systemic issue fail forward consumer provide evidence furnisher accept unreliable response fail adequately notify consumer dispute outcome failure align experience experian equifax neither correct nor remove dispute item despite evidence provide cause ongoing harm credit standing request immediate corrective action remove amend dispute account experian equifax inaction violate federal law right consumer', 'formal follow previous dispute concern fraudulent account appear credit report not authorize account continued reporting constitute violation right fair credit reporting act fcra despite month dispute submission support documentation include ftc identity theft report false inaccurate entry remain report fcra require consumer reporting agency ensure maximum possible accuracy failure remove fraudulent account receive proper notice documentation raise compliance concern demand immediate corrective action permanently delete account credit file delay account not remove promptly no choice but escalate matter include file complaint consumer financial protection bureau cfpb federal trade commission ftc pursue remedy available law final opportunity comply action take']"
0,730,0_identity_theft_fraudulent_victim,"['identity', 'theft', 'fraudulent', 'victim', 'ftc', 'open', 'xxxx', 'account', 'result', 'xx']","['victim identity theft find fraudulent inquiry not authorize credit report fraudulent inquiry find identity theft attach identity theft report xxxx xxxx xx xx xxxx xxxx xx xx xxxx', 'victim identity theft recently victim data breach personal information expose account report not belong fcra b require cease report fraudulent account conduct reasonable investigation continued reporting collection effort constitute willful non compliance usc xxxx xxxx account number xxxx victim identity theft data breach fraudulent account open report xxxx xxxx knowledge authorization consent despite provide ftc identity theft report proof identity support documentation xxxx xxxx continue furnish fraudulent information xxxx xxxx violation include fcra furnish information know result identity theft fcra failure properly investigate direct dispute fcra b failure investigate correct inaccurate information furnish credit bureau request xxxx xxxx immediately xxxx block delete fraudulent account xxxx furnish account xxxx xxxx xxxx write confirmation account remove not pursue collection', 'm victim identity theft information report fraudulent information not result identity theft']"
1,726,1_bank_card_money_close,"['bank', 'card', 'money', 'close', 'tell', 'charge', 'chase', 'call', 'check', 'xx']","['have fraudulent activity go account long time year not check account never bank chase long time never issue like say month ago notice money take account xxxx xxxx point hard specific date immediately cancel card mention fraud activity go but follow lot day range look account assume hold responsible neglegence not consistently keep account eat file formal complaint receive new card new pin assume access account card away home safety use account withdrawal money reason tenant pay cash monthly use spending money month reason use account receive work check pay mortgage like save actual banking history fraudulent charge start happen know recoup close actually take but past day important lay job money pay bill survive find employment file claim deny believe approve transaction fact chip detect atm withdrawal happen but impossible way card away not bank transaction positively certain camera tell likely not money fact tell chip technology duplicate but know clearly happen real time not mention quick xxxx xxxx pull multiple article state possible call shim file police report have request xxxx footage copy check show different signature check total bounce no possible potential fraud activity pop bank end let check bounce follow check bounce accept check look exactly like bounce push right bounce not contact time potential fraud file police report get half evidence possibly signature check have law enforcement request xxxx approve know able but promise withdrawal transaction date sure xxxx go branch early today believe transaction tell believe victim identity theft but claim department budge stance appointment monday hopefully figure far chance catch lie never try scam cheat finesse company day life milk injury situation work not tear ucl work left arm bother til day never try receive worker comp injury document file happen supervisor but never formal complaint request take day able motion go work not strength day probably never no reason lie cheat look easy way end maybe not think step let know thank', 'never bank time receive notice try submit fraudulent check bank account bank try charge fraudulent activity close account', 'fraud account xx xx year different fraud go account everytime happen cancel debit card send new month fraud account replace card today xx xx year fraud send new card not understand stand people call fraud department phone number tell come employee thing coworker submit time sheet approve time pay day later but take xxxx week pay call bank ask hold check time tell but xxxx check account xxxx week ago bank find hold check tell check pende post account morning not receive fund check bill late fee xxxx month ofthis bill large late fee xxxx thing']"
2,706,2_debt_collection_validation_company,"['debt', 'collection', 'validation', 'company', 'owe', 'collect', 'call', 'collector', 'contract', 'original']","['dispute debt party collection agency attempt collect debt inaccurate collection agency not provide necessary documentation verify debt original creditor information account number detail collection agency contact debt not recognize claim owe incorrect fail provide detailed information substantiate claim agency failure validate debt cause stress impact financial threaten report report debt credit bureau', 'file complaint jefferson capital systems llc attempt collect debt provide proper validation require fair debt collection practices act fdcpa californias xxxx fair debt collection practices act xx xx year send write debt validation request certify mail ask provide documentation validate debt claim owe date fail provide proper validation debt continue pursue collection action despite not validate debt report threaten report debt credit bureaus verify accuracy violate federal state consumer protection law', 'ask validate alleged debt claim owe provide statement signature alleged account not prove violate consumer right fair debt collection practices act fdcpa g b validation debt portfolio recovery fail validate allege debt refuse pay alleged debt proper validation debt provide cease desist collection activity properly validate allege debt furthermore request verification alleged debt specifically copy contract agreement say contract agreement original creditor sign party involve illegally attempt collect allege debt money not owe cease desist include but not limit collection attempt reporting account consumer reporting agency']"
3,414,3_cash_app_unfair_resolution,"['cash', 'app', 'unfair', 'resolution', 'efta', 'unprotected', 'redress', 'inconvenience', 'effective', 'electronic']","['file complaint cash app block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation', 'file complaint cash app block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation', 'file complaint cash app block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation']"
4,414,4_loan_student_pay_mohela,"['loan', 'student', 'pay', 'mohela', 'payment', 'interest', 'mortgage', 'vehicle', 'xx', 'car']","['file complaint xxxx severe unjustified negative credit reporting significantly impact financial standing credit report recently update reflect late payment entry mohela cause credit score drop xxxx point action take prior notice warning correspondencei not receive email letter alert inform drastic change report credit bureau additionally aware ongoing data breach involve student loan account raise concern unauthorized access personal financial information raise concern ferpa violation give security lapse reason believe account record compromise alter consent process purchase home cause loan halt remedied cause extreme financial distress error report need remedie immediately not authorize change account status no long feel comfortable have student loan service report credit bureaus condition violation consumer protection rights failure provide notice negative credit reporting fair credit reporting act fcra loan servicer require provide accurate fair reporting not notify advance account mark late deny opportunity address potential issue report possible unauthorized reporting account compromise data breach report datum breach involve xxxx raise question integrity loan account datum expose manipulate xxxx incorrectly fraudulently report late payment not actually incur failure properly investigate verify account status give security risk error report request verification documentation prove legitimacy late payment include detailed account history show mark late', 'file complaint xxxx severe unjustified negative credit reporting significantly impact financial standing credit report recently update reflect late payment entry mohela cause credit score drop xxxx point action take prior notice warning correspondencei not receive email letter alert inform drastic change report credit bureau additionally aware ongoing data breach involve student loan account raise concern unauthorized access personal financial information raise concern ferpa violation give security lapse reason believe account record compromise alter consent process purchase home cause loan halt remedied cause extreme financial distress error report need remedie immediately not authorize change account status no long feel comfortable have student loan service report credit bureaus condition violation consumer protection rights failure provide notice negative credit reporting fair credit reporting act fcra loan servicer require provide accurate fair reporting not notify advance account mark late deny opportunity address potential issue report possible unauthorized reporting account compromise data breach report datum breach involve xxxx raise question integrity loan account datum expose manipulate xxxx incorrectly fraudulently report late payment not actually incur failure properly investigate verify account status give security risk error report request verification documentation prove legitimacy late payment include detailed account history show mark late request resolution immediate removal report late payment credit report report proper notice potentially compromise circumstance formal investigation mohela report practice determine datum mishandle compromise write response mohela confirm deletion late payment credit file situation cause extreme distress financial harm damage creditworthiness', 'concern submit complaint mohelas servicing federal student loan repeat servicing failure create prolonged uncertainty account disrupt ability manage payment cause significant stress financial hardship summary issue multiple transfer loan account servicer occur timely notification learn transfer not locate loan new servicer contact follow transfer long delay communication location status loan numerous occasion month mohela representative unable confirm loan instruct payment processing error occur appear relate transfer include payment misapply delay posting not reflect correctly statement billing statement payoff amount incorrect confusing loan term change repeatedly clear explanation leave unsure pay loan service receive inconsistent incorrect information repayment option program eligibility employ qualifying nonprofit submit paperwork lose not process correctly require resubmit document multiple time promise callback not occur customer service unresponsive inconsistent call wait time excessive callback not return representative give conflict information recent xx xx xxxx tell need transfer department hopefully pick statement reflect lack reliable support illustrate dismissive uncertain handling concern characterize experience year time provide detailed information prior call assist resolve issue representative state information unavailable not list file impossible build continuity progress resolve concern repeat attempt resolve matter include follow call xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xx xx xxxx xxxxxxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxxxxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx step take resolve matter consistently call mohela seek resolution ask representative document file record effort recently begin follow email ensure concern document writing despite proactive step continue encounter lose information unreturned callback inconsistent guidance repeat attempt resolve issue demonstrate commitment responsibly manage loan but servicer failure prevent ongoing error lack support leave unable reliably manage loan face prolonged uncertainty loan locate pay payment apply correctly directly harm credit disrupt financial stability delay access repayment forgiveness program eligible financial consequence repeat misinformation lose paperwork unresponsive customer service cause significant stress frustration time energy spend make dozen call repeat information receive no clear answer take real toll quality life instead focus work personal responsibility force continually chase basic information loan respectfully request cfpbs review assistance ensure loan record correct appropriate remediation provide step take prevent similar harm borrower thank attention matter']"
5,361,5_late_payment_remark_company,"['late', 'payment', 'remark', 'company', 'agree', 'entry', 'review', 'incorrect', 'incorrectly', 'delay']","['seek assistance investigate account company inaccurately report late payment review credit report notice certain account show late payment incorrect account not late payment remark', 'request help review account company inaccurately report late payment check credit report find account late payment remark not account reflect no late payment', 'request help review account company inaccurately report late payment check credit report find account late payment remark not account reflect no late payment']"
6,355,6_inquiry_hard_unauthorized_company,"['inquiry', 'hard', 'unauthorized', 'company', 'authorize', 'access', 'xxxx', 'credit', 'remove', 'not']","['recently review credit report discover unauthorized hard inquiry not initiate authorize recognize inquiry consent fraudulent nature inquiry question follow date xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx not apply credit loan service company nor provide written verbal permission inquiry hard inquiry negatively affect credit profile violation c fair credit reporting act fcra state consumer report not access permissible purpose explicit authorization request inquiry remove credit report immediately', 'hard inquiry credit report not authorize fair credit reporting act fcra company explicit permission access credit report not recognize inquiry not apply credit company request unauthorized inquiry investigate remove credit report contact credit reporting agency company inquiry but issue remain unresolved', 'dispute hard inquiry appear credit report not authorize inquiry nor apply credit company list inquiry knowledge consent request remove credit report immediately fraudulent xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx']"
7,292,7_xx_xxxx_fcra_balance,"['xx', 'xxxx', 'fcra', 'balance', 'date', 'payment', 'late', 'xxxxxxxx', 'charge', 'open']","['file formal complaint multiple inaccurate unverified mislead item report consumer credit report item violate fcra fair credit reporting act reporting furnisher fail ensure accuracy fail verify information continue report account no knowledge address not request investigation immediate correction wrong fraudulent addresses report follow address completely inaccurate never live associate location xxxx xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx wrong address false address create security identity theft concern request immediate deletion address credit bureau charge accounts no knowledge account account report charge not recognize account never authorize no knowledge debt associate fcra furnisher provide complete verification delete account xxxx xxxxxxxx xxxx date open xx xx xxxx balance xxxx xxxxxxxx xxxx date open xx xx xxxx balance xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance no knowledge account request deletion credit report late payment account payment history completely incorrect follow account report late payment but late payment false inaccurate never late payment account violation fcra b require maximum accuracy xxxxxxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance xxxxxxxx xxxx xxxxxxxx xxxx xxxx date open xx xx xxxx balance request correction inaccurate payment history removal false late payment notation unauthorized suspicious hard inquiries follow inquiry perform authorization not apply credit entity inquiry remove immediately xxxx xx xx xxxx xxxx xxxx xx xx xxxx p xxxx xxxx xx xx xxxx unauthorized inquiry violate fcra delete inquiry promptly request action request cfpb investigate furnisher require provide verification documentation account address inquiry delete unverified account no knowledge charge account correct inaccurate late payment information late payment account remove wrong address report remove unauthorized inquiry list provide write confirmation correction complete inaccuracy cause financial harm prevent obtain fair credit opportunity request immediate action thank attention assistance', 'file formal complaint inaccurate misleading unauthorized information report credit report item direct violation fair credit reporting act fcra consumer protection law wrong address xxxx xxxx xxxxxxxx xxxx xxxxxxxx xxxx fl xxxx wrong address address completely false unrelated inclusion address report create misleading impression cause unnecessary financial stress wrong address signal possible identity theft mixed file inaccurate credit history spend time effort money dispute thing not create harm creditworthiness expose risk not consent fcra right know source inaccurate reporting fcra demand deletion delay xxxxxxxx xxxx xxxx xxxx xxxxxxxx fl xxxx wrong address address no connection whatsoever never reside never own rent never utility bill include report create false trail identity confuse creditor cause denial credit affect professional life report address violate principle maximum possible accuracy fcra increase risk identity theft person associate address account debt credit bureau require law delete personal information not verify belong xxxx xxxx xxxx xxxx xxxxxxxx xxxx fl xxxx wrong address address not never history wrong address not mislead creditor but harm credibility consumer inaccurate reporting make appear unstable residency influence financial decision like auto loan mortgage credit card deeply unfair misleading violation right fcra require immediate reinvestigation correction dispute information address delete immediately account dispute xxxx xxxx xxxx account xxxxxxxx xxxx balance owe date open xx xx xxxx status charge dispute account report inaccurately proper validation never provide original document contract breakdown allege balance proof reporting unverifiable unlawful furthermore way account report cause major financial harm include denial credit high interest rate fcra right request documentation account fdcpa b right validation debt report charge proper evidence violation fcra prohibit report information know inaccurate account create undue hardship financial life include rejection rental application credit denial produce original sign document prove debt belong delete immediately xxxx xxxx account xxxx balance owe date open xx xx xxxx status charge account report charge but reporting inconsistent unverifiable date balance amount account detail not match record dispute account appear inaccurate mix consumer file improperly update fcra right dispute information not accurate complete verifiable continued reporting account validation violate fcra b require furnisher investigate correct dispute information presence charge unfairly damage credit cause embarrassment hardship financial personal life harm ability secure housing credit well opportunity not provide verified lawful documentation account delete immediately xxxx xxxx xxxxxxxx account xxxxxxxx xxxx high balance date open xx xx xxxx status charge account report charge but dispute accuracy never provide original sign documentation prove legitimacy debt no billing statement contract breakdown allege balance produce report charge proper validation violate fcra right original documentation fcra duty reinvestigate dispute item fdcpa prohibit false representation debt account cause real harm include credit denial high interest rate unnecessary stress not provide proof original creditor charge delete immediately require law xxxx xxxx account xxxxxxxx xxxx xxxx xxxx xxxx high balance date open xx xx xxxx status late payment account inaccurately report late payment dispute reporting incomplete misleading date payment history not match record never receive proper validation explanation creditor report late payment documentation violate fcra prohibit furnisher report information know inaccurate violate fcra b require correction dispute information late payment notation damage credit lower score paint false picture irresponsibility reality manage account responsibly reporting misleading correct delete immediately hard inquiries dispute xxxx xxxx xxxx xxxxxx xx xxxx inquiry not authorize inquiry unauthorized inquiry violation right fcra require consumer consent credit pull inquiry damaging lower credit score falsely suggest seek credit not apply case misattribution unauthorized access credit file remove immediately xxxx xxxx xx xx xxxx xxxx xxxx appear duplicate inquiry report creditor date duplicate inquiry misleading harmful not permissible law report inquiry credit request inaccurate violate fcra requirement maximum possible accuracy b duplicate inquiry delete immediately prevent damage credit profile harm impact false account late payment unauthorized inquiry cause significant harm include denial credit high cost borrowing emotional distress reputational damage credit file inaccurate not reflect true financial behavior request xxxx request cfpb investigate violation require credit bureaus furnisher xxxx delete inaccurate charge xxxx xxxx xxxx xxxx xxxx xxxx xxxx correct delete late payment report xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx delete unauthorized inquiry xxxx xxxx date xx xx xxxx xxxx delete unauthorized inquiry xxxx xxxx date xx xx xxxx xxxx delete duplicate inquiry xxxx xxxx date xx xx xxxx xxxx provide write confirmation correction deletion item violation right fcra request immediate corrective action restore accuracy credit report', 'submit complaint right grant fair credit reporting act fcra fair debt collection practices act fdcpa credit report contain inaccuracy cause confusion harm misrepresentation credit profile despite previous dispute error remain unresolved demand reinvestigation immediate correction violation directly infringe consumer right federal law xxxxxxxx xxxx xxxx xxxx xxxxxxxx xxxx xxxx tx address never associate verified residence report incorrect identify information violate b require maximum accuracy continue list damage personal data integrity delete immediately xxxx xxxx xxxx xxxx xxxx az xxxx address not link way retain display record accuracy violation equifax obligation maintain precise consumer datum delete address delay xxxxxxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxx report charge but remain unverified unsupported furnisher report xxxx balance charge deceptive violate b no evidence contract link debt show delete immediately xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxxxxxx alleged account never validate furnisher provide no sign agreement payment proof report unverified debt violate b fdcpa false representation remove permanently xxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxx incorrect charge reporting xxxx balance account violate b report incomplete inaccurate financial status verification breach federal compliance delete false account file immediately xxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxxxxxx report false late payment despite no verify proof violate require reinvestigation confirmation no support record exist justify delinquency remove inaccurate datum xxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxx charge report validation contract fail compliance b accuracy verification report unsubstantiated datum harm consumer standing delete account immediately xxxx xxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxx no original proof liability delinquency provide report unverifiable debt violate b datum not legally remain file validation remove xxxx xxxx xxxx xxxx xxxx xxxx xxxx balance date open xx xx xxxx inconsistent datum credit bureaus prove inaccuracy equifaxs duty verify datum delete report conflict information show failure reinvestigation standard remove completely xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance late payment unsupported payment history notice violate b lack proof report datum validation cease immediately xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance late mark remain unverifiable obligate delete information not prove accurate continue report show negligent compliance xxxxxxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxxxxxx balance no record miss payment exist report delinquency confirmation violate b delete unverifiable account immediately xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance report show inconsistent detail bureau violate b no official verification provide furnisher remove inaccurate record xxxxxxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance allege late payment lack verified support breach b no proof default submit remove credit report xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance report late verified billing history violate fail reinvestigation delete immediately lack support evidence xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance late status report confirmation creditor fail compliance b b report unverifiable delinquency harm credit integrity remove xxxxxxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance xxxx account report validation violate g fdcpa b unverifie party reporting illegal delete xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxx xx xxxx inquiry unauthorized permissible purpose violate f prohibit obtain consumer report consent delete unauthorized inquiry immediately provide write evidence consumer initiate authorization inaccuracy violation collectively demonstrate negligence noncompliance federal consumer protection law bureau furnisher fail legal obligation ensure fair accurate verifiable report fcra request cfpb immediately investigate matter compel responsible bureaus furnisher remove correct erroneous datum appropriate enforcement action ensure compliance continue failure uphold law constitute willful noncompliance fcra subject responsible party civil liability']"
8,261,8_open_fraudulent_account_authorize,"['open', 'fraudulent', 'account', 'authorize', 'manage', 'presence', 'history', 'never', 'knowledge', 'profile']","['account report authorization knowledge never open authorize manage account presence credit file false misleading unacceptable inaccurate reporting damage credit cause significant distress', 'account report open report knowledge authorization consent never manage approve account presence credit report entirely unacceptable false information misrepresent financial history cause significant concern accuracy credit profile seriously need immediate clarification account associate responsible report', 'account report authorization knowledge never apply open manage presence credit report unacceptable constitute false misleading information financial history accuracy credit profile seriously require immediate clarification account appear responsible report']"
