Topic,Count,Name,Representation,Representative_Docs
-1,7314,-1_xxxx_credit_not_account,"['xxxx', 'credit', 'not', 'account', 'report', 'xx', 'information', 'dispute', 'remove', 'consumer']","['write formally express concern zelle handling dispute particularly light recent cfpb lawsuit highlight significant issue platform despite zelle numerous time report discrepancy financial institution zelle fail investigate claim adequately inform recover lose fund impossible track transaction unfeasible cfpb finding indicate zelle not neglect protect consumer but allow repeat offender exploit system leave user vulnerable scam lack accountability transparency unacceptable raise concern consumer safety', 'dispute inaccurate information credit report regard xx xx xxxxxxxx xxxx xxxx year need remove xx xx xxxx xx xx xxxx report negative history inaccurate information creditor delete report credit submit documentation incorrect inaccurate information remain credit report cfpb take action equifax xxxx highlight support claim non compliance specifically impact harmful financial way deny credit year inaccurate reporting information credit report purchase home equifax incorrect information credit report lack investigation reinvestigation unacceptable send multiple dispute letter send support document support right inaccurate reporting remove credit currently xxxx xxxx account remain report ask time remove xxxx xxxx xx xx xxxx xxxx xxxx xxxx different company report account pay xxxx xxxx account begin negative pay xxxx xx xx xxxx', 'file complaint multiple unauthorized hard inquiry appear credit report consent permissible purpose require fair credit reporting act fcra item damage credit score violate consumer right request immediate investigation permanent removal address xxxx xxxx xxxx md xxxx address not delete immediately report unverifiable address information violate fcra b not provide proof directly tie remove account xxxx xxxxxxxx account xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance late payment account show false late payment datum no verification documentation provide report unverified data violate fcra b remove immediately proof accuracy not produce inquiry xxxx xx xx xxxx inquiry unauthorized never consent report access report permissible purpose violate fcra f delete inquiry immediately item consent violate multiple fcra provision request cfpb investigate company ensure removal credit report']"
0,761,0_theft_identity_xxxx_fraudulent,"['theft', 'identity', 'xxxx', 'fraudulent', 'victim', 'ftc', 'open', 'xx', 'account', 'remove']","['victim identity theft inquiry transunion credit report fraudulent not belong file ftc report inquiry xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx', 'victim identity theft inquiry experian transunion credit report fraudulent not belong file ftc report inquiry xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx', 'victim identity theft inquiry experian transunion credit report fraudulent not belong file ftc report inquiry xxxx xxxx xx xx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xx xx xxxx']"
1,708,1_cash_app_resolution_unfair,"['cash', 'app', 'resolution', 'unfair', 'efta', 'unprotected', 'redress', 'effective', 'inadequate', 'measure']","['file complaint cash app block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation', 'file complaint cash app block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation', 'file complaint cash app block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation']"
2,585,2_debt_collection_call_company,"['debt', 'collection', 'call', 'company', 'validation', 'collect', 'owe', 'fdcpa', 'provide', 'practices']","['dispute collection account report xxxx not recognize debt never receive statement bill validation letter notice identify original creditor nature alleged account xxxx report balance approximately open date xx xx year credit report show no original creditor no account history no contract no date delinquency no proof company own right collect debt tradeline simply list xxxx incomplete inaccurate information violate fdcpa g failure provide require validation information fdcpa g b report debt not validate fcra b failure ensure maximum possible accuracy fcra unverifiable information report fcra reporting information know inaccurate not owe debt collection company not provide documentation debt belong company never provide validation not identify original creditor collection account inaccurate incomplete unverifiable request cfpbs assistance have collection remove credit report', 'letter dispute alleged debt request documentation prove owe allow fair debt collection practices act fdcpa despite company continue collection activity include remove business day violation right fdcpa attempt collect provide proper validation ignore cease desist request request cfpb require company stop collection activity provide validation alleged debt correct inaccurate reporting credit bureau', 'summary complaint party debt collector report debt never agree no contract never enter agreement company fail provide proper validation require law detail company attempt collect report debt not belong fair debt collection practices act fdcpa g right request validation debt require provide proof ownership original creditor date not provide validation never sign contract agreement collector no legal standing claim owe continue report collect allege debt validation violation g failure validate debt false representation legal status debt unfair unconscionable practice harm inaccurate reporting damage credit limit ability obtain fair financing misrepresent financial reputation']"
3,477,3_card_bank_money_close,"['card', 'bank', 'money', 'close', 'tell', 'say', 'call', 'xx', 'send', 'charge']","['reason dispute try work xxxxxxxx xxxx fraudulent transaction xxxxxxxx xxxx representative not helpful inform transaction credit card not recognize xxxxxxxx xxxx customer service tell not verify identity not later say address apartment number tell no but say not apt number account not help account use credit card different information tell xxxxxxxx xxxxxxxx credit xxxx but not not account xxxx xxxx never permit open account credit card replace new account hopefully no transaction happen xxxxxxxx xxxx xxxx give temporary credit investigation return money xxxx old credit card number fraudulent transaction file fraud report credit card company xxxx post date xx xx year xx xx year xx xx year xx xx year xx xx year xx xx year xx xx year xx xx year xx xx year', 'xxxx xxxx charge money not want pay card not fund pay decline payment but check bank notice take fund checking account speak bank go store receive solution transaction problem begin xx xx year bank file claim give credit xx xx xxxx take aforementioned speak bank claim give solution claim go xxxx xxxx tell no transaction appear record', 'credit card come mail not open authorize xx xx xxxx call citi card say card account close but receive letter say card call xx xx xxxx find card open closed but not trust']"
4,406,4_equifax_xxxx_investigation_dispute,"['equifax', 'xxxx', 'investigation', 'dispute', 'fcra', 'provide', 'cfpb', 'reasonable', 'contravene', 'properly']","['file complaint equifax fail properly investigate dispute inaccuracy credit report despite submission equifax consistently respond hour state account accurate provide evidence thorough investigation practice violate fair credit reporting act fcra mandate reasonable investigation dispute furthermore equifax action contravene consumer financial protection act cfpa b highlight cfpb recent administrative proceeding file no similar violation request cfpb action ensure equifax complie federal law provide consumer necessary proof investigation inaccuracy like remove credit report collection account xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx', 'file complaint equifax fail properly investigate dispute inaccuracy credit report despite submission equifax consistently respond xxxx hour state account accurate provide evidence thorough investigation practice violate fair credit reporting act fcra mandate reasonable investigation dispute furthermore equifax action contravene consumer financial protection act cfpa b highlight cfpb recent administrative proceeding file no xxxx similar violation request cfpb action ensure equifax complie federal law provide consumer necessary proof investigation inaccurate account xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx', 'file complaint equifax fail properly investigate dispute inaccuracy credit report despite submission equifax consistently respond xxxx hour state account accurate provide evidence thorough investigation practice violate fair credit reporting act fcra xxxx xxxx xxxx mandate reasonable investigation dispute furthermore equifax action contravene consumer financial protection act xxxx xxxx xxxx xxxx xxxx b highlight cfpb recent administrative proceeding file no xxxx similar violation request cfpb action ensure equifax complie federal law provide consumer necessary proof investigation account inaccurate xxxx xxxx xxxx account number xxxx show xxxx xxxx xxxx account xxxx xxxx xxxx date open xx xx year xxxx']"
5,367,5_xxxx_xx_balance_fcra,"['xxxx', 'xx', 'balance', 'fcra', 'date', 'xxxxxxxx', 'late', 'charge', 'payment', 'inquiry']","['concern submit formal complaint consumer financial protection bureau cfpb multiple inaccurate harmful item report credit report account include false charge off incorrect late payment unauthorized collection inquiry consent inaccuracy violate right fair credit reporting act fcra fair debt collection practices act fdcpa consumer data industry association cdia standard account list cause substantial financial harm emotional distress damage credit reputation xxxx xxxx xxxx xxxx high balance date open xx xx xxxx late payment account report late payment history entirely false payment time no evidence support delinquency fcra section request reinvestigation account inaccurate reporting late payment cause severe credit harm emotional distress financial setback falsely portray irresponsible borrower xxxx xxxx xxxx high balance date open xx xx xxxx late payment account wrongly mark late never miss delay payment no notice record creditor indicate delinquency report false payment history violate fcra mandate datum furnisher report accurate information demand immediate correction proof payment history validation xxxx xxxx xxxx xxxx high balance date open xx xx xxxx late payment report late payment account false misleading never receive billing issue notice delay false mark lower credit score significantly interfere ability obtain fair credit fcra section inaccurate reporting ground damage legal action not promptly correct xxxx xxxx xxxx high balance date open xx xx xxxx charge no knowledge account charge not receive validation statement confirmation creditor false harmful entry delete fcra section c allow dispute unverifiable information additionally fdcpa section b entitle debt validation never provide xxxx xxxx high balance date open xx xx xxxx late payment account late payment status inaccurate pay time no documentation miss delayed payment creditor fail maintain accurate reporting violate fcra b require prompt correction error dispute receive xxxx xxxx xxxxxxxx xxxx high balance date open xx xx xxxx charge appear duplicate previous account show report negligence duplicate inaccurate reporting violate fcra b fcra report debt multiple time inflate debt profile lower credit score unfairly cause confusion consumer credit file account delete immediately inaccurate duplication unverifiable charge status xxxx xxxx xxxx high balance date open xx xx xxxx charge duplicate account balance open date previous xxxx xxxx entry report duplicate account not misleading but violate fcra section fcra b reflect lack accuracy integrity report no knowledge multiple account nature demand false entry immediately delete credit bureau xxxx xxxx xxxx high balance date open xx xx xxxx charge account report charge valid notice verification no recollection record delinquency fdcpa section b right request validation alleged debt none provide continued reporting unverifiable charge off violate fcra section delete immediately xxxx xxxx xxxx high balance date open xx xx xxxx late payment account reflect late payment entirely inaccurate pay account time no legitimate record delinquency misinformation unfairly lower credit score fcra datum furnisher ensure maximum possible accuracy report information request immediate correction payment history time payment xxxx xxxx xxxx high balance date open xx xx xxxx late payment account wrongly report late payment status no record delay miss payment xxxx xxxx xxxx xxxx reporting violate fcra section b require credit bureaus ensure accuracy demand correction payment history removal false derogatory mark xxxx xxxx xxxxxxxx xxxx high balance date open xx xx xxxx late payment account late payment reporting false damaging never receive notice evidence indicate miss payment xxxx xxxx fail maintain accurate reporting violate fcra section b false reporting impact ability obtain fair credit term request immediate reinvestigation correction xxxx xxxx xxxx xxxx xxxx high balance date open xx xx xxxx charge account falsely report charge no record write notice xxxx xxxx indicate account charge default fcra section furnisher ensure information report accurate complete unverified charge misleading damaging credit reputation demand immediate reinvestigation deletion creditor not provide verifiable proof alleged charge xxxx xxxx xxxx high balance date open xx xx xxxx late payment account falsely report late payment maintain consistent timely payment student loan account department education servicer fail ensure accuracy payment history violate fcra section b request verification include payment record billing statement correction record reflect time payment history xxxx xxxx xxxx high balance date open xx xx xxxx late payment account similar previous inaccurately report late payment no record delinquency nor notify department education miss payment report false late payment federal account severe violation fcra fcra request immediate reinvestigation correction reflect accurate positive payment history xxxx xxxx xxxx high balance date open xx xx xxxx late payment account falsely report late payment status maintain timely payment not receive delinquency notice xxxx xxxx xxxx xxxx inaccurate reporting violate fcra section b fcra section b demand immediate removal false derogatory information correction accurate time payment history xxxx xxxx xxxx high balance date open xx xx xxxx late payment account show false late payment strongly dispute never miss delay payment federal student loan account servicer failure maintain accurate record violate fcra section fcra section require datum furnisher provide verify complete accurate information request correction account time payment xxxx xxxx xxxx xxxxxxxx high balance date open xx xx xxxx collection collection account completely unknown never transaction agreement debt company no validation letter billing statement notice collection send account violate fcra fdcpa b represent unverifiable debt report fact demand deletion account immediately appear fraudulent inaccurately assign inaccuracy cause significant credit damage financial difficulty emotional stress request reinvestigation dispute account immediate deletion correction unverifiable false information write confirmation result investigation provide day mandate fcra section error not correct pursue remedy available fcra sections include legal action willful noncompliance damage', 'file complaint consumer financial protection bureau cfpb credit report contain inaccurate address incorrect late payment information unauthorized inquiry error violate consumer protection right fair credit reporting act fcra fair credit billing act fcba credit reporting agency furnisher fail conduct lawful reinvestigation continue report unverifiable false datum damage creditworthiness request cfpbs direct intervention enforce federal compliance ensure correction deletion item address xxxx xxxx xxxx xxxx xxxx tx xxxx address not associate legitimate credit file report location verification violation fcra b fail accuracy requirement never authorize entity link profile address no valid account open xxxx xxxx xxxx xxxxxxxx tx xxxx incorrect unverifiable address continue report false address damage credit profile privacy consumer reporting agency obligate remove inaccurate obsolete personal datum mislead potential creditor account xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe account report charge balance zero directly violate fcra b zero balance not logically exist charge status misreporting portray false delinquency affect creditworthiness xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe account reflect late payment despite show zero balance reporting error contradict fcra require fair accurate credit representation alleged delinquency remove no verifiable proof miss payment xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe charge entirely inaccurate account never default report false charge off support record violate fcra strictly prohibit furnish inaccurate datum xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe report account charge despite zero balance constitute false derogatory entry accord fcra b verify information remain file xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe item report charge no valid balance proof default fcra unverifiable negative item delete reinvestigation period xxxx xxxxxxxx date open xx xx xxxx xxxx xxxx late payment entry unsubstantiated misrepresent payment history fcra prohibit furnish incomplete inaccurate datum xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx xxxx xxxx account not appear charge furnisher fail maintain verifiable documentation violate accuracy requirement xxxx b fcra xxxx xxxxxxxx xxxx xxxx xxxx date open xx xx xxxx balance owe entity report second charge identical term indicate duplicate unverifiable reporting violation xxxx xxxx date open xx xx xxxx xxxx xxxx allege debt inaccurate unverified xxxx xxxx xxxx know report unverifiable debt b fdcpa fcra account delete verify original documentation xxxx xxxx xxxx xxxx date open xx xx xxxx xxxx xxxx debt collection entry unverifiable violate right fcra reporting entity not provide evidence authorization agreement xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx xxxx xxxx xxxx xxxx xxxxxxxx misreporte account charge valid documentation reporting violate b require maximum possible accuracy xxxx xxxx xxxx date open xx xx xxxx xxxx xxxx charge entry completely inaccurate unverifiable fcra unverified account remove immediately xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe reporting inaccurate zero balance not charge false reporting violate b fcra xxxx xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx date open xx xx xxxx balance owe collection account report proof validation violation b fdcpa fcra furnisher not provide original sign agreement statement federal reference xxxx bankruptcy bankruptcy reference entirely false damaging never file bankruptcy report constitute major fcra violation strictly limit bankruptcy datum report verify case xxxx xxxx xx xx xxxx inquiry not authorize xxxx xxxx fcra consumer reporting agency xxxx not furnish report write conent xxxx xx xx xxxx unauthorized hard inquiry violate fcra require permissible purpose xxxx xx xx xxxx inquiry consent permissible purpose fcra xxxx xx xx xxxx unauthorized inquiry no credit application initiate xxxx xx xx xxxx unauthorized inquiry failure verify permissible purpose xxxx xx xx xxxx never apply credit inquiry illegal xxxx xx xx xxxx fraudulent inquiry remove immediately td target xx xx xxxx not authorize inquiry continued reporting unlawful xxxx xxxx xx xx xxxx unauthorized inquiry violate xxxx xxxx xx xx xxxx xxxx consent delete immediately xxxx xx xx xxxx entity no permissible purpose access credit file xxxx xx xx xxxx repeat unauthorized inquiry cause harm score xxxx xxxx co xx xx xxxx inquiry never initiate permit remove fcra repeat violation furnisher credit bureausthrough false address inaccurate late payment unauthorized inquiriesrepresent clear noncompliance fcra ask consumer financial protection bureau conduct thorough investigation require deletion unverifiable inaccurate datum enforce accountability credit reporting agency furnisher responsible violation', 'dear cfpb officer submit complaint account inquiry falsely report credit report multiple furnisher inaccurate report cause severe damage credit standing financial despite prior dispute credit bureau item remain unresolved unverifie direct violation fair credit reporting act fcra fair debt collection practices act fdcpa relate consumer protection law specific account issue request investigate immediately xxxx xxxx xxxx xxxx date open xx xx xxxx balance late payment account report late payment completely inaccurate never late payment creditor no support documentation provide validate claim fcra request reinvestigation correction false reporting xxxx xxxx xxxx xxxx date open xx xx xxxx balance late payment account inaccurately mark late no verifiable proof delinquency constitute defamation credit profile creditor compel provide original payment record remove false datum immediately xxxx xxxx xxxx date open xx xx xxxx balance late payment account reflect late payment balance xxxx account closed late payment not occur zero balance inactive account false reporting violate fcra delete correct xxxx xxxx xxxx date open xx xx xxxx balance late payment clear reporting error maintain perfect standing xxxx xxxx account no factual evidence late activity information remove immediately damage credit unlawfully xxxx xxxx xxxx date open xxxx xxxx xxxx balance late payment account report false late payment datum reporting agency creditor fail validate negative information proper documentation violate fcra require fair accurate credit reporting xxxx xxxx xxxx xxxx date open xx xx xxxx balance charge no knowledge charge never receive write notice proof default account appear duplicate unverifie fcra demand proof original sign agreement payment history validation alleged debt immediate deletion xxxx xxxx date open xx xx xxxx balance late payment late payment xxxx balance not logically possible false data severely damaging violate fcra b ensure immediate removal correction xxxx xxxx date open xx xx xxxx balance late payment dispute reporting no verified proof delinquency creditor fail provide support documentation reinvestigate correct record immediately xxxx xxxx date open xx xx xxxx balance collection no knowledge collection account never receive validation notice collector require fdcpa demand immediate removal complete validation original creditor contract payment history provide xxxx xxxx date open xx xx xxxx balance collection no recollection record debt account never authorize verify no documentation provide request clear violation fcra fdcpa immediate deletion request inquiry xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx inquiry xx xx xxxx inquiry conduct authorization permissible purpose require fcra repeat reporting error unverified negative account clear violation consumer right federal law request cfpb initiate investigation furnisher report agency involve require provide documentation verify account item permanently remove credit report false entry cause severe financial hardship include high interest rate denial credit emotional distress ask cfpb enforce strict compliance fcra fdcpa applicable consumer protection law request action conduct cfpb investigation furnisher list require deletion unverifiable inaccurate unauthorized account inquiry ensure credit file fully correct update accurate information hold non compliant furnisher accountable violate fcra fdcpa']"
6,269,6_inquiry_hard_unauthorized_authorize,"['inquiry', 'hard', 'unauthorized', 'authorize', 'company', 'permission', 'credit', 'access', 'pull', 'score']","['write dispute hard inquiry credit report finance company not apply inquiry knowledge permission file identity theft report request unauthorized inquiry remove credit file immediately inquiry result identity theft negatively impact credit score investigate delete fraudulent hard inquiry associate account application not authorize', 'review credit report discover hard inquiry company list not authorize never apply credit company nor permission access credit file inquiry unauthorized negatively impact xxxx xxxx request hard inquiry remove credit report immediately', 'review credit report discover hard inquiry company list not authorize never apply credit company nor permission access credit file inquiry unauthorized negatively impact credit score request hard inquiry remove credit report immediately']"
7,248,7_navy_fee_transaction_lag,"['navy', 'fee', 'transaction', 'lag', 'posting', 'insufficient', 'overdraft', 'union', 'incur', 'initially']","['write file complaint navy federal credit union multiple overdraft fee incur despite have sufficient fund transaction authorize charge fee lag posting charge credit issue align recent cfpb finding navy federal similar practice transaction settle insufficient balance despite initially available fund believe practice unfair request investigation account transaction', 'write file complaint navy federal credit union multiple overdraft fee incur despite have sufficient fund transaction authorize charge fee lag posting charge credit issue align recent cfpb finding navy federal similar practice transaction settle insufficient balance despite initially available fund believe practice unfair request investigation account transaction', 'write file complaint navy federal credit union multiple overdraft fee incur despite have sufficient fund transaction authorize charge fee lag posting charge credit issue align recent cfpb finding navy federal similar practice transaction settle insufficient balance despite initially available fund believe practice unfair request investigation account transaction']"
8,217,8_contain_error_inaccuracy_mistake,"['contain', 'error', 'inaccuracy', 'mistake', 'standard', 'ongoing', 'stability', 'meet', 'score', 'impact']","['want absolutely clear complaint not submit error credit report contain inaccurate information not meet require standard maximum possible accuracy error cause ongoing harm financial stability personal add undue stress difficult time', 'want clear complaint not mistake credit report contain inaccurate information fail meet require standard maximum possible accuracy error cause ongoing hardship negatively impact life difficult time', 'complaint not mistake credit report contain clear inaccuracy fail meet require standard maximum possible accuracy fair credit reporting act error cause ongoing harm credit financial standing']"
